Experiment,Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Precision,Recall,F1-score
hybrid_resampling,19,"Pepper,_bell___healthy",236,44,False,0.813953488372093,0.7954545454545454,0.8045977011494253
hybrid_resampling,20,Potato___Early_blight,160,30,False,0.8181818181818182,0.9,0.8571428571428571
hybrid_resampling,21,Potato___Late_blight,160,30,False,0.6296296296296297,0.5666666666666667,0.5964912280701754
hybrid_resampling,22,Potato___healthy,54,8,True,0.5,1.0,0.6666666666666666
hybrid_resampling,23,Raspberry___healthy,133,11,True,0.6111111111111112,1.0,0.7586206896551724
hybrid_resampling,24,Soybean___healthy,814,152,False,0.9166666666666666,0.7960526315789473,0.852112676056338
hybrid_resampling,25,Squash___Powdery_mildew,293,55,False,0.9615384615384616,0.9090909090909091,0.9345794392523364
hybrid_resampling,26,Strawberry___Leaf_scorch,177,33,False,0.9090909090909091,0.9090909090909091,0.9090909090909091
hybrid_resampling,27,Strawberry___healthy,164,13,False,0.5714285714285714,0.9230769230769231,0.7058823529411765
hybrid_resampling,28,Tomato___Bacterial_spot,340,63,False,0.9,0.7142857142857143,0.7964601769911505
hybrid_resampling,29,Tomato___Early_blight,160,30,False,0.76,0.6333333333333333,0.6909090909090909
hybrid_resampling,30,Tomato___Late_blight,305,57,False,0.7575757575757576,0.43859649122807015,0.5555555555555556
hybrid_resampling,31,Tomato___Leaf_Mold,152,28,True,0.5227272727272727,0.8214285714285714,0.6388888888888888
hybrid_resampling,32,Tomato___Septoria_leaf_spot,283,53,False,0.6888888888888889,0.5849056603773585,0.6326530612244898
hybrid_resampling,33,Tomato___Spider_mites Two-spotted_spider_mite,268,50,False,0.8372093023255814,0.72,0.7741935483870968
hybrid_resampling,34,Tomato___Target_Spot,224,42,False,0.9090909090909091,0.7142857142857143,0.8
hybrid_resampling,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,160,False,0.9858156028368794,0.86875,0.9235880398671097
hybrid_resampling,36,Tomato___Tomato_mosaic_virus,134,11,True,0.6666666666666666,0.7272727272727273,0.6956521739130435
hybrid_resampling,37,Tomato___healthy,254,47,False,0.9038461538461539,1.0,0.9494949494949495
